Car_ID,Car_Model,Model_Year,Car_Age,Mileage_KM,Fuel_Type,Region,Components,Health_Score,Conditions,Failure_Type,Failure_Date,Maintenance_Type,Maintenance_Cost,Downtime_Hours,Service_Center,Car_Status
CAR-1041,Sedan,2019,7,55574,Petrol,South,Engine,48,Warning,Overheating,2/1/2025,Corrective,1661.07,11,Center Alpha,Healthy
CAR-1038,Premium Sedan,2020,6,95857,Diesel,Central,Engine,19,Critical,Wear,7/15/2023,Emergency,2098.33,50,Center Gamma,Under Maintenance
CAR-1151,Hatchback,2020,6,69514,Diesel,West,Brake,72,Warning,Brake Wear,9/9/2023,Preventive,248.06,2,Center Alpha,Healthy
CAR-1270,Sedan,2019,7,63252,Hybrid,Central,Transmission,41,Critical,Transmission Fault,12/25/2024,Emergency,2184.83,61,Center Alpha,Under Maintenance
CAR-1108,City,2020,6,85249,Petrol,South,Battery,10,Critical,Battery Failure,11/9/2024,Emergency,488.52,64,Center Alpha,Under Maintenance
CAR-1476,Crossover,2022,4,77257,Electric,East,Headlight,67,Warning,Lighting Failure,5/25/2024,Corrective,159.1,8,Center Alpha,Healthy
CAR-1200,City,2024,2,35204,Petrol,South,Brake,92,Healthy,No Failure,8/17/2025,Preventive,286.27,3,Center Alpha,Healthy
CAR-1411,Premium Sedan,2024,2,27983,Diesel,East,Brake,100,Healthy,No Failure,2/8/2024,Preventive,285.97,1,Center Epsilon,Healthy
CAR-1165,Hatchback,2022,4,44691,Diesel,East,Cooling System,75,Healthy,No Failure,6/27/2023,Preventive,247.19,3,Center Beta,Healthy
CAR-1357,Crossover,2021,5,72618,Petrol,Central,Brake,46,Warning,Brake Wear,1/17/2023,Corrective,424.5,17,Center Delta,Healthy
CAR-1326,Crossover,2018,8,63038,Electric,West,Cooling System,45,Warning,Overheating,2/22/2024,Preventive,313.81,3,Center Delta,Healthy
CAR-1270,Sedan,2019,7,63128,Hybrid,Central,Cooling System,15,Critical,Overheating,3/15/2023,Emergency,681.6,25,Center Gamma,Under Maintenance
CAR-1066,Compact,2021,5,39919,Petrol,North,Tyre,55,Warning,Tyre Damage,12/11/2025,Corrective,202.75,18,Center Gamma,Healthy
CAR-1324,Sedan,2018,8,91043,Petrol,North,Cooling System,25,Critical,Overheating,11/18/2024,Emergency,766.65,34,Center Gamma,Under Maintenance
CAR-1478,Sedan,2018,8,90779,Diesel,South,Tyre,41,Critical,Tyre Damage,12/21/2023,Corrective,269.34,9,Center Alpha,Needs Inspection
CAR-1488,Hatchback,2022,4,42100,Diesel,Central,Transmission,64,Warning,Transmission Fault,6/17/2024,Preventive,799.21,3,Center Gamma,Healthy
CAR-1438,Premium Sedan,2024,2,37470,Petrol,Central,Cooling System,81,Healthy,No Failure,12/16/2025,Preventive,319.72,2,Center Epsilon,Healthy
CAR-1034,Crossover,2020,6,73083,Petrol,East,Tyre,37,Critical,Tyre Damage,6/11/2023,Emergency,466.69,48,Center Gamma,Under Maintenance
CAR-1199,Crossover,2020,6,66294,Diesel,South,Tyre,59,Warning,Tyre Damage,4/8/2024,Preventive,168.94,1,Center Alpha,Healthy
CAR-1395,Compact,2021,5,48546,Diesel,South,Cooling System,60,Warning,Overheating,10/3/2024,Corrective,409.49,19,Center Delta,Healthy
CAR-1088,Hatchback,2024,2,27791,Petrol,South,Engine,100,Healthy,No Failure,5/13/2023,Preventive,746.22,3,Center Beta,Healthy
CAR-1165,Hatchback,2022,4,80064,Diesel,East,Cooling System,57,Warning,Overheating,11/18/2024,Corrective,455.17,10,Center Delta,Healthy
CAR-1081,Crossover,2018,8,131592,Diesel,West,Engine,18,Critical,Overheating,6/30/2023,Emergency,1867.14,67,Center Epsilon,Under Maintenance
CAR-1147,Hatchback,2022,4,73006,Diesel,West,Battery,99,Healthy,No Failure,7/18/2024,Preventive,199.94,1,Center Gamma,Healthy
CAR-1037,Sedan,2021,5,52066,Petrol,East,Cooling System,61,Warning,Overheating,7/1/2023,Corrective,521.32,22,Center Epsilon,Healthy
CAR-1178,Crossover,2018,8,129707,Diesel,East,Tyre,31,Critical,Tyre Damage,9/19/2025,Emergency,413.04,53,Center Epsilon,Under Maintenance
CAR-1038,Premium Sedan,2020,6,85393,Diesel,Central,Headlight,67,Warning,Lighting Failure,10/8/2023,Preventive,112.51,3,Center Gamma,Healthy
CAR-1485,Hatchback,2023,3,47347,Diesel,West,Battery,92,Healthy,No Failure,8/17/2025,Preventive,152.73,1,Center Beta,Healthy
CAR-1068,Compact,2022,4,52889,Electric,West,Tyre,55,Warning,Tyre Damage,1/22/2024,Corrective,232.59,22,Center Beta,Healthy
CAR-1388,City,2022,4,78341,Diesel,East,Suspension,34,Critical,Suspension Failure,9/28/2023,Emergency,1302.37,32,Center Gamma,Under Maintenance
CAR-1143,Hatchback,2024,2,33671,Electric,Central,Brake,54,Warning,Brake Wear,12/24/2023,Preventive,283.85,3,Center Alpha,Healthy
CAR-1394,Compact,2023,3,35476,Diesel,East,Tyre,42,Critical,Tyre Damage,10/10/2025,Emergency,362.61,31,Center Epsilon,Under Maintenance
CAR-1447,Premium Sedan,2018,8,84713,Hybrid,South,Brake,46,Warning,Brake Wear,5/16/2024,Corrective,456.76,19,Center Delta,Healthy
CAR-1083,Crossover,2018,8,130381,Petrol,West,Tyre,58,Warning,Tyre Damage,9/5/2024,Corrective,239.59,8,Center Delta,Healthy
CAR-1431,Hatchback,2019,7,96857,Petrol,South,Cooling System,22,Critical,Overheating,9/14/2025,Emergency,702.83,19,Center Delta,Needs Inspection
CAR-1327,Crossover,2020,6,56792,Petrol,South,Suspension,37,Critical,Suspension Failure,4/13/2025,Corrective,702.89,8,Center Alpha,Needs Inspection
CAR-1072,Compact,2022,4,48224,Electric,South,Engine,35,Critical,Mechanical Failure,4/5/2025,Emergency,1922.32,59,Center Beta,Under Maintenance
CAR-1081,Crossover,2018,8,97577,Diesel,West,Engine,38,Critical,Overheating,2/1/2025,Emergency,1886.14,52,Center Alpha,Under Maintenance
CAR-1116,City,2021,5,65137,Electric,North,Engine,45,Warning,Mechanical Failure,5/25/2024,Corrective,1609.49,9,Center Beta,Healthy
CAR-1034,Crossover,2020,6,59037,Petrol,East,Battery,64,Warning,Battery Failure,6/30/2025,Preventive,211.83,1,Center Alpha,Healthy
CAR-1481,Sedan,2024,2,36973,Diesel,Central,Battery,47,Warning,Battery Failure,9/28/2025,Corrective,272.48,11,Center Beta,Healthy
CAR-1214,City,2024,2,32916,Petrol,South,Cooling System,63,Warning,Overheating,3/30/2024,Preventive,382.09,1,Center Delta,Healthy
CAR-1275,Premium Sedan,2021,5,81158,Petrol,South,Suspension,39,Critical,Suspension Failure,8/17/2024,Emergency,952.32,25,Center Alpha,Under Maintenance
CAR-1324,Sedan,2018,8,106013,Petrol,North,Tyre,23,Critical,Tyre Damage,3/9/2023,Emergency,457.5,47,Center Delta,Under Maintenance
CAR-1179,City,2023,3,56668,Electric,Central,Engine,50,Warning,Mechanical Failure,8/24/2024,Preventive,647.07,1,Center Epsilon,Healthy
CAR-1272,Compact,2021,5,86014,Petrol,West,Brake,41,Critical,Brake Wear,6/25/2023,Emergency,809.88,26,Center Gamma,Under Maintenance
CAR-1352,Premium Sedan,2023,3,38679,Diesel,North,Suspension,86,Healthy,No Failure,5/20/2023,Preventive,384.08,3,Center Epsilon,Healthy
CAR-1390,City,2019,7,118153,Diesel,North,Engine,23,Critical,Overheating,12/28/2025,Corrective,1311.54,22,Center Epsilon,Needs Inspection
CAR-1361,Hatchback,2019,7,86688,Petrol,West,Battery,41,Critical,Battery Failure,1/25/2024,Emergency,502.47,56,Center Beta,Under Maintenance
CAR-1156,Sedan,2018,8,105051,Petrol,East,Brake,29,Critical,Brake Wear,9/17/2024,Corrective,484.6,10,Center Beta,Needs Inspection
CAR-1319,Premium Sedan,2023,3,35091,Diesel,North,Brake,74,Warning,Brake Wear,8/24/2023,Corrective,367.36,7,Center Epsilon,Healthy
CAR-1373,Sedan,2021,5,85242,Electric,North,Headlight,40,Critical,Lighting Failure,7/23/2023,Corrective,151.95,7,Center Epsilon,Needs Inspection
CAR-1130,Sedan,2018,8,98296,Electric,Central,Battery,32,Critical,Battery Failure,1/12/2025,Emergency,475.78,56,Center Delta,Under Maintenance
CAR-1162,Hatchback,2023,3,30018,Hybrid,Central,Engine,65,Warning,Mechanical Failure,12/18/2023,Corrective,1489.59,20,Center Beta,Healthy
CAR-1332,Hatchback,2023,3,37827,Diesel,West,Tyre,90,Healthy,No Failure,9/23/2025,Preventive,133.05,2,Center Gamma,Healthy
CAR-1396,Sedan,2019,7,121183,Petrol,West,Suspension,45,Warning,Suspension Failure,3/20/2025,Corrective,700.12,13,Center Delta,Healthy
CAR-1496,Compact,2021,5,96232,Petrol,Central,Battery,43,Critical,Battery Failure,5/5/2024,Emergency,422.36,42,Center Epsilon,Under Maintenance
CAR-1379,Sedan,2023,3,54678,Hybrid,North,Cooling System,70,Warning,Overheating,2/11/2025,Corrective,430.16,18,Center Gamma,Healthy
CAR-1206,Premium Sedan,2021,5,67565,Hybrid,North,Engine,58,Warning,Mechanical Failure,6/18/2023,Corrective,1028.78,13,Center Alpha,Healthy
CAR-1466,City,2018,8,129766,Petrol,North,Headlight,20,Critical,Lighting Failure,4/16/2023,Emergency,222.24,36,Center Delta,Under Maintenance
CAR-1372,City,2019,7,111393,Petrol,Central,Brake,25,Critical,Brake Wear,7/4/2024,Emergency,517.41,67,Center Alpha,Under Maintenance
CAR-1153,Hatchback,2019,7,121073,Diesel,North,Brake,32,Critical,Brake Wear,10/19/2024,Emergency,750.26,42,Center Gamma,Under Maintenance
CAR-1424,City,2018,8,81035,Diesel,East,Battery,16,Critical,Battery Failure,8/1/2025,Emergency,435.47,69,Center Beta,Under Maintenance
CAR-1088,Hatchback,2024,2,33361,Petrol,South,Transmission,77,Healthy,No Failure,6/16/2025,Preventive,819.21,1,Center Alpha,Healthy
CAR-1268,Crossover,2021,5,90447,Diesel,East,Headlight,45,Warning,Lighting Failure,12/4/2024,Preventive,122.76,2,Center Alpha,Healthy
CAR-1402,City,2024,2,19021,Electric,West,Headlight,71,Warning,Lighting Failure,8/28/2024,Preventive,112.4,1,Center Delta,Healthy
CAR-1452,Sedan,2019,7,84243,Petrol,Central,Brake,26,Critical,Brake Wear,1/29/2023,Emergency,621.68,57,Center Gamma,Under Maintenance
CAR-1495,Premium Sedan,2022,4,41946,Petrol,East,Tyre,58,Warning,Tyre Damage,3/5/2023,Preventive,121.47,3,Center Gamma,Healthy
CAR-1257,Premium Sedan,2020,6,66648,Petrol,West,Headlight,49,Warning,Lighting Failure,4/12/2025,Corrective,180.01,19,Center Epsilon,Healthy
CAR-1322,City,2018,8,132529,Petrol,North,Tyre,39,Critical,Tyre Damage,1/14/2024,Emergency,452.05,39,Center Delta,Under Maintenance
CAR-1355,Crossover,2022,4,44944,Electric,Central,Suspension,52,Warning,Suspension Failure,10/29/2023,Preventive,543.08,1,Center Epsilon,Healthy
CAR-1392,Crossover,2020,6,54010,Diesel,Central,Battery,77,Healthy,No Failure,11/3/2024,Preventive,195.07,2,Center Epsilon,Healthy
CAR-1114,Compact,2018,8,118027,Diesel,East,Engine,39,Critical,Overheating,5/10/2025,Emergency,1613.28,47,Center Delta,Under Maintenance
CAR-1254,Compact,2022,4,44191,Hybrid,Central,Suspension,70,Warning,Suspension Failure,1/6/2025,Corrective,851.45,14,Center Alpha,Healthy
CAR-1306,Crossover,2022,4,46484,Diesel,North,Battery,57,Warning,Battery Failure,11/27/2024,Corrective,340.2,16,Center Gamma,Healthy
CAR-1379,Sedan,2023,3,38311,Hybrid,North,Tyre,78,Healthy,No Failure,7/19/2023,Preventive,154.12,3,Center Beta,Healthy
CAR-1211,City,2022,4,67955,Diesel,South,Engine,77,Healthy,No Failure,9/18/2025,Preventive,982.46,1,Center Delta,Healthy
CAR-1136,Compact,2024,2,34999,Diesel,Central,Engine,76,Healthy,No Failure,9/18/2025,Preventive,886.47,3,Center Beta,Healthy
CAR-1014,Compact,2019,7,126237,Petrol,Central,Suspension,41,Critical,Suspension Failure,3/28/2024,Emergency,971.33,64,Center Delta,Under Maintenance
CAR-1310,Sedan,2018,8,140242,Petrol,South,Engine,10,Critical,Overheating,2/5/2024,Emergency,1705.8,45,Center Alpha,Under Maintenance
CAR-1490,Crossover,2019,7,77268,Electric,West,Brake,66,Warning,Brake Wear,3/11/2025,Preventive,300.68,2,Center Beta,Healthy
CAR-1072,Compact,2022,4,65431,Electric,South,Tyre,67,Warning,Tyre Damage,9/4/2024,Corrective,220.6,20,Center Beta,Healthy
CAR-1083,Crossover,2018,8,131033,Petrol,West,Battery,22,Critical,Battery Failure,8/14/2024,Corrective,296.74,11,Center Gamma,Needs Inspection
CAR-1015,Premium Sedan,2020,6,61919,Petrol,West,Tyre,59,Warning,Tyre Damage,3/19/2025,Corrective,307.86,12,Center Gamma,Healthy
CAR-1403,Premium Sedan,2020,6,100358,Electric,South,Suspension,41,Critical,Suspension Failure,3/23/2025,Emergency,1090.54,48,Center Beta,Under Maintenance
CAR-1430,Premium Sedan,2022,4,70048,Hybrid,South,Battery,55,Warning,Battery Failure,9/17/2025,Corrective,281.16,19,Center Epsilon,Healthy
CAR-1105,Premium Sedan,2018,8,153216,Electric,East,Brake,10,Critical,Brake Wear,10/15/2023,Corrective,436.66,19,Center Delta,Needs Inspection
CAR-1337,Compact,2022,4,48829,Petrol,East,Headlight,62,Warning,Lighting Failure,3/27/2023,Corrective,164.29,6,Center Gamma,Healthy
CAR-1413,Compact,2023,3,30635,Diesel,South,Tyre,79,Healthy,No Failure,2/7/2024,Preventive,165.21,3,Center Delta,Healthy
CAR-1014,Compact,2019,7,67394,Petrol,Central,Battery,51,Warning,Battery Failure,3/25/2023,Corrective,258.48,11,Center Delta,Healthy
CAR-1387,Compact,2022,4,63857,Diesel,East,Suspension,60,Warning,Suspension Failure,3/14/2024,Preventive,384.39,3,Center Beta,Healthy
CAR-1397,Compact,2023,3,39520,Petrol,West,Brake,95,Healthy,No Failure,7/23/2025,Preventive,318.27,2,Center Delta,Healthy
CAR-1074,Crossover,2018,8,69564,Petrol,South,Transmission,57,Warning,Transmission Fault,4/25/2025,Preventive,1048.47,3,Center Alpha,Healthy
CAR-1120,Compact,2023,3,37936,Diesel,West,Engine,75,Healthy,No Failure,8/31/2023,Preventive,696.87,1,Center Alpha,Healthy
CAR-1336,Sedan,2024,2,35989,Hybrid,South,Cooling System,52,Warning,Overheating,8/10/2023,Corrective,505.86,14,Center Delta,Healthy
CAR-1141,Compact,2019,7,106370,Petrol,West,Cooling System,48,Warning,Overheating,4/29/2025,Corrective,455.33,8,Center Epsilon,Healthy
CAR-1375,City,2023,3,30786,Electric,Central,Headlight,64,Warning,Lighting Failure,10/29/2024,Preventive,122.11,1,Center Delta,Healthy
CAR-1198,Sedan,2019,7,109300,Electric,North,Engine,42,Critical,Wear,10/7/2023,Corrective,1239.82,13,Center Beta,Needs Inspection
CAR-1117,Premium Sedan,2018,8,91916,Hybrid,Central,Tyre,55,Warning,Tyre Damage,11/17/2024,Corrective,210.41,12,Center Beta,Healthy
CAR-1440,Hatchback,2024,2,38945,Petrol,North,Tyre,69,Warning,Tyre Damage,2/22/2023,Corrective,289.12,12,Center Beta,Healthy
CAR-1485,Hatchback,2023,3,37828,Diesel,West,Tyre,19,Critical,Tyre Damage,9/7/2023,Corrective,252.14,12,Center Delta,Needs Inspection
CAR-1082,Premium Sedan,2020,6,106253,Diesel,South,Suspension,66,Warning,Suspension Failure,1/1/2024,Corrective,897.83,22,Center Beta,Healthy
CAR-1361,Hatchback,2019,7,84591,Petrol,West,Tyre,25,Critical,Tyre Damage,3/3/2025,Corrective,193.27,7,Center Gamma,Needs Inspection
CAR-1038,Premium Sedan,2020,6,64522,Diesel,Central,Tyre,49,Warning,Tyre Damage,10/11/2023,Preventive,150.02,2,Center Epsilon,Healthy
CAR-1122,Crossover,2021,5,73159,Petrol,West,Engine,52,Warning,Wear,2/1/2025,Corrective,1344.56,23,Center Delta,Healthy
CAR-1220,Crossover,2018,8,65317,Hybrid,East,Suspension,49,Warning,Suspension Failure,8/24/2023,Corrective,738.99,21,Center Epsilon,Healthy
CAR-1245,Sedan,2018,8,87014,Petrol,West,Cooling System,59,Warning,Overheating,5/24/2024,Corrective,398.99,12,Center Epsilon,Healthy
CAR-1272,Compact,2021,5,78117,Petrol,West,Engine,56,Warning,Mechanical Failure,2/2/2025,Corrective,1228.62,21,Center Beta,Healthy
CAR-1301,City,2019,7,129365,Petrol,West,Suspension,29,Critical,Suspension Failure,12/14/2023,Corrective,779.62,15,Center Beta,Needs Inspection
CAR-1351,Premium Sedan,2018,8,118886,Petrol,West,Tyre,25,Critical,Tyre Damage,10/29/2025,Emergency,425.76,32,Center Alpha,Under Maintenance
CAR-1443,Sedan,2020,6,90740,Electric,South,Brake,37,Critical,Brake Wear,4/4/2025,Emergency,721.17,37,Center Beta,Under Maintenance
CAR-1456,Hatchback,2020,6,53632,Hybrid,Central,Tyre,54,Warning,Tyre Damage,10/31/2025,Corrective,198.33,6,Center Delta,Healthy
CAR-1038,Premium Sedan,2020,6,51369,Diesel,Central,Tyre,64,Warning,Tyre Damage,5/4/2025,Corrective,204.63,18,Center Delta,Healthy
CAR-1307,Compact,2024,2,18457,Petrol,East,Tyre,89,Healthy,No Failure,7/11/2023,Preventive,172.34,1,Center Gamma,Healthy
CAR-1102,City,2018,8,134870,Petrol,Central,Engine,34,Critical,Wear,3/14/2024,Emergency,2058.2,69,Center Delta,Under Maintenance
CAR-1344,Premium Sedan,2022,4,45439,Electric,Central,Battery,70,Warning,Battery Failure,8/11/2023,Corrective,295.99,16,Center Alpha,Healthy
CAR-1275,Premium Sedan,2021,5,57014,Petrol,South,Headlight,64,Warning,Lighting Failure,4/18/2025,Corrective,130.23,10,Center Gamma,Healthy
CAR-1061,Hatchback,2023,3,56866,Electric,South,Battery,82,Healthy,No Failure,9/3/2025,Preventive,194.85,1,Center Delta,Healthy
CAR-1090,Compact,2023,3,26961,Diesel,South,Tyre,96,Healthy,No Failure,5/30/2025,Preventive,153.27,3,Center Gamma,Healthy
CAR-1253,Sedan,2018,8,98761,Electric,Central,Cooling System,38,Critical,Overheating,6/15/2023,Corrective,597.26,11,Center Epsilon,Needs Inspection
CAR-1348,Sedan,2018,8,103451,Hybrid,North,Engine,47,Warning,Mechanical Failure,2/6/2024,Preventive,809.92,2,Center Beta,Healthy
CAR-1235,Crossover,2022,4,55270,Electric,West,Tyre,59,Warning,Tyre Damage,4/6/2023,Corrective,204.35,19,Center Beta,Healthy
CAR-1243,City,2020,6,105364,Electric,South,Headlight,41,Critical,Lighting Failure,10/10/2024,Emergency,270.27,47,Center Beta,Under Maintenance
CAR-1186,Hatchback,2021,5,47315,Petrol,North,Suspension,79,Healthy,No Failure,2/26/2025,Preventive,520.57,1,Center Gamma,Healthy
CAR-1333,Sedan,2021,5,65178,Electric,West,Brake,58,Warning,Brake Wear,8/24/2025,Preventive,268.96,3,Center Beta,Healthy
CAR-1112,Sedan,2021,5,56766,Petrol,West,Tyre,68,Warning,Tyre Damage,10/15/2025,Corrective,199.5,18,Center Delta,Healthy
CAR-1417,Compact,2018,8,118307,Electric,North,Suspension,57,Warning,Suspension Failure,6/26/2023,Corrective,704.38,10,Center Delta,Healthy
CAR-1190,Sedan,2024,2,30655,Electric,East,Tyre,79,Healthy,No Failure,11/17/2024,Preventive,179.73,2,Center Beta,Healthy
CAR-1483,Crossover,2023,3,32075,Petrol,South,Brake,89,Healthy,No Failure,3/24/2023,Preventive,278.73,2,Center Beta,Healthy
CAR-1179,City,2023,3,57257,Electric,Central,Transmission,82,Healthy,No Failure,5/27/2025,Preventive,991.71,1,Center Alpha,Healthy
CAR-1048,City,2023,3,29719,Petrol,South,Tyre,68,Warning,Tyre Damage,11/1/2025,Preventive,155.58,1,Center Gamma,Healthy
CAR-1446,Compact,2021,5,54378,Petrol,East,Brake,71,Warning,Brake Wear,12/10/2023,Preventive,243.61,3,Center Alpha,Healthy
CAR-1395,Compact,2021,5,71715,Diesel,South,Engine,61,Warning,Overheating,7/15/2023,Preventive,854.83,3,Center Gamma,Healthy
CAR-1028,City,2019,7,122491,Diesel,Central,Battery,46,Warning,Battery Failure,8/24/2025,Preventive,233.87,1,Center Epsilon,Healthy
CAR-1228,Premium Sedan,2023,3,51875,Petrol,West,Headlight,68,Warning,Lighting Failure,11/20/2023,Corrective,199.06,14,Center Beta,Healthy
CAR-1325,Sedan,2019,7,80768,Petrol,North,Headlight,41,Critical,Lighting Failure,7/12/2023,Corrective,167.59,7,Center Gamma,Needs Inspection
CAR-1261,Compact,2021,5,47976,Petrol,Central,Transmission,61,Warning,Transmission Fault,3/9/2025,Preventive,836.42,1,Center Gamma,Healthy
CAR-1400,Premium Sedan,2019,7,58207,Petrol,South,Headlight,22,Critical,Lighting Failure,10/26/2025,Corrective,153.88,9,Center Delta,Needs Inspection
CAR-1148,Premium Sedan,2020,6,60725,Petrol,South,Tyre,79,Healthy,No Failure,8/16/2023,Preventive,120.44,1,Center Alpha,Healthy
CAR-1148,Premium Sedan,2020,6,54677,Petrol,South,Cooling System,27,Critical,Overheating,1/22/2024,Corrective,474.3,22,Center Alpha,Needs Inspection
CAR-1274,Premium Sedan,2021,5,72267,Petrol,Central,Cooling System,12,Critical,Overheating,8/11/2024,Emergency,869.63,33,Center Gamma,Under Maintenance
CAR-1376,Compact,2021,5,97152,Diesel,Central,Battery,48,Warning,Battery Failure,12/3/2024,Preventive,220.9,3,Center Delta,Healthy
CAR-1155,Hatchback,2021,5,50330,Electric,Central,Tyre,73,Warning,Tyre Damage,12/29/2023,Preventive,159.01,2,Center Delta,Healthy
CAR-1453,Premium Sedan,2022,4,55038,Petrol,East,Battery,66,Warning,Battery Failure,11/17/2023,Preventive,198.49,1,Center Beta,Healthy
CAR-1021,City,2024,2,24607,Diesel,Central,Brake,63,Warning,Brake Wear,1/8/2025,Preventive,265.56,2,Center Beta,Healthy
CAR-1192,Crossover,2022,4,57233,Petrol,North,Engine,59,Warning,Wear,11/10/2023,Corrective,1379.76,18,Center Alpha,Healthy
CAR-1127,Sedan,2022,4,56614,Diesel,West,Battery,90,Healthy,No Failure,7/17/2023,Preventive,164.41,2,Center Gamma,Healthy
CAR-1055,Hatchback,2018,8,115508,Diesel,South,Cooling System,16,Critical,Overheating,3/12/2023,Emergency,857.14,64,Center Beta,Under Maintenance
CAR-1081,Crossover,2018,8,147576,Diesel,West,Engine,11,Critical,Mechanical Failure,10/17/2023,Emergency,1734.98,33,Center Alpha,Under Maintenance
CAR-1466,City,2018,8,94036,Petrol,North,Transmission,14,Critical,Transmission Fault,2/28/2025,Emergency,2651.39,35,Center Delta,Under Maintenance
CAR-1081,Crossover,2018,8,139157,Diesel,West,Battery,34,Critical,Battery Failure,10/25/2024,Corrective,350.01,16,Center Beta,Needs Inspection
CAR-1193,Hatchback,2021,5,47070,Petrol,North,Cooling System,69,Warning,Overheating,4/28/2025,Corrective,388.23,15,Center Beta,Healthy
CAR-1053,City,2020,6,53834,Hybrid,East,Battery,66,Warning,Battery Failure,3/1/2024,Corrective,271.23,11,Center Beta,Healthy
CAR-1370,Hatchback,2020,6,69935,Petrol,West,Brake,61,Warning,Brake Wear,8/24/2025,Preventive,238.07,1,Center Delta,Healthy
CAR-1090,Compact,2023,3,22959,Diesel,South,Transmission,66,Warning,Transmission Fault,5/30/2023,Preventive,872.66,2,Center Beta,Healthy
CAR-1203,Crossover,2022,4,30790,Hybrid,South,Engine,61,Warning,Mechanical Failure,2/22/2025,Corrective,1179.93,14,Center Alpha,Healthy
CAR-1370,Hatchback,2020,6,53294,Petrol,West,Transmission,59,Warning,Transmission Fault,3/8/2025,Corrective,1164.45,15,Center Delta,Healthy
CAR-1187,City,2021,5,41911,Petrol,North,Headlight,58,Warning,Lighting Failure,2/3/2025,Preventive,88.05,2,Center Gamma,Healthy
CAR-1343,Hatchback,2022,4,57643,Hybrid,North,Engine,67,Warning,Wear,11/30/2024,Corrective,1660.52,18,Center Gamma,Healthy
CAR-1440,Hatchback,2024,2,36840,Petrol,North,Engine,65,Warning,Overheating,9/13/2025,Corrective,1135.49,23,Center Alpha,Healthy
CAR-1389,City,2023,3,50393,Petrol,South,Tyre,73,Warning,Tyre Damage,12/21/2025,Corrective,199.74,23,Center Epsilon,Healthy
CAR-1441,Premium Sedan,2024,2,21429,Petrol,East,Battery,75,Healthy,No Failure,11/17/2025,Preventive,223.32,1,Center Delta,Healthy
CAR-1445,Hatchback,2021,5,65708,Diesel,West,Tyre,73,Warning,Tyre Damage,2/7/2025,Corrective,310.71,6,Center Epsilon,Healthy
CAR-1064,City,2018,8,150123,Diesel,North,Battery,10,Critical,Battery Failure,4/20/2023,Emergency,535.13,68,Center Alpha,Under Maintenance
CAR-1353,Crossover,2018,8,146805,Petrol,East,Engine,23,Critical,Mechanical Failure,6/27/2025,Corrective,1662.84,9,Center Gamma,Needs Inspection
CAR-1283,Sedan,2018,8,110034,Hybrid,West,Brake,21,Critical,Brake Wear,6/3/2024,Emergency,755.66,69,Center Epsilon,Under Maintenance
CAR-1204,City,2022,4,55588,Diesel,North,Engine,67,Warning,Wear,6/8/2025,Corrective,1059.02,15,Center Alpha,Healthy
CAR-1386,Compact,2024,2,36728,Hybrid,South,Cooling System,73,Warning,Overheating,12/16/2023,Corrective,568.85,19,Center Beta,Healthy
CAR-1031,Compact,2018,8,144719,Diesel,West,Suspension,30,Critical,Suspension Failure,5/27/2023,Corrective,760.15,22,Center Gamma,Needs Inspection
CAR-1138,Sedan,2024,2,33034,Electric,East,Headlight,78,Healthy,No Failure,4/21/2025,Preventive,125.74,1,Center Beta,Healthy
CAR-1153,Hatchback,2019,7,82973,Diesel,North,Battery,24,Critical,Battery Failure,5/25/2023,Emergency,376.14,30,Center Gamma,Under Maintenance
CAR-1178,Crossover,2018,8,88030,Diesel,East,Tyre,10,Critical,Tyre Damage,10/27/2024,Emergency,486.01,51,Center Alpha,Under Maintenance
CAR-1018,Compact,2022,4,66057,Diesel,North,Battery,71,Warning,Battery Failure,11/11/2024,Preventive,171.58,1,Center Epsilon,Healthy
CAR-1286,Sedan,2021,5,54152,Electric,East,Battery,48,Warning,Battery Failure,8/7/2025,Preventive,187.05,1,Center Beta,Healthy
CAR-1155,Hatchback,2021,5,78164,Electric,Central,Engine,54,Warning,Wear,7/1/2025,Preventive,1014.66,1,Center Gamma,Healthy
CAR-1449,Crossover,2020,6,108124,Diesel,Central,Headlight,28,Critical,Lighting Failure,11/20/2025,Emergency,247.95,44,Center Beta,Under Maintenance
CAR-1103,City,2023,3,55020,Electric,East,Battery,47,Warning,Battery Failure,5/3/2025,Preventive,147.4,2,Center Alpha,Healthy
CAR-1227,Hatchback,2022,4,62878,Petrol,South,Tyre,56,Warning,Tyre Damage,10/18/2023,Corrective,200.36,7,Center Epsilon,Healthy
CAR-1174,Sedan,2022,4,55379,Petrol,West,Tyre,68,Warning,Tyre Damage,8/1/2023,Corrective,304.13,6,Center Delta,Healthy
CAR-1339,Crossover,2020,6,89885,Electric,Central,Brake,57,Warning,Brake Wear,3/26/2025,Corrective,396.45,11,Center Beta,Healthy
CAR-1101,City,2018,8,137484,Electric,West,Brake,12,Critical,Brake Wear,12/17/2024,Emergency,619.6,58,Center Beta,Under Maintenance
CAR-1200,City,2024,2,28558,Petrol,South,Engine,81,Healthy,No Failure,6/1/2023,Preventive,668.96,1,Center Epsilon,Healthy
CAR-1445,Hatchback,2021,5,64781,Diesel,West,Transmission,63,Warning,Transmission Fault,12/18/2025,Preventive,930.66,3,Center Epsilon,Healthy
